dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
mimic3_mort_icu,RF-NoCal,6,0.8577885378106822,0.05188008950181194,0.18059596735767558,2.7428059823364492e-12,0.7860553404701687,0.0011304663917883321,5.17516382632799e-05
mimic3_mort_icu,CF-Iso,7,0.8563192853085766,0.05050142695629464,0.20237082665914907,3.304559029149168e-05,6.526117095353487e-05,0.0003959162917644073,0.00011479030386111703
mimic3_mort_icu,CF-Logit,7,0.8589998065887148,0.052022259353021696,0.17835050960075782,0.0,8.1359004158029e-09,0.0013573843916467865,0.00017467016796517075
mimic3_mort_icu,RC-Iso,7,0.8526776751963491,0.051210508435145186,0.1911714584849321,3.4879099608531305e-11,4.839358595237703e-10,0.000443314965649836,0.00012770622517883616
mimic3_mort_icu,RC-Logit,7,0.8559743889182678,0.05211330521215019,0.17691251392955387,0.0,2.082670599419906e-05,0.0011923392576616855,0.00012104270703768714
mimic3_mort_icu,RF-NoCal,7,0.8592235148951173,0.05194875180548579,0.17951150183224696,3.752553823233029e-14,0.5756771336070322,0.0013213080965218881,6.313941103338678e-05
mimic3_mort_icu,CF-Iso,8,0.8588354682022052,0.050607276699269586,0.20069901562179926,7.380468125539608e-08,6.108506992993514e-05,0.00046313627907646913,0.00010944337794010494
mimic3_mort_icu,CF-Logit,8,0.8564294562939461,0.05207558039770463,0.17750834684704142,0.0,1.3683638696592475e-08,0.0013350196794157936,0.00017861483869250014
mimic3_mort_icu,RC-Iso,8,0.850667513759132,0.051434913753887535,0.18762715806275487,0.0,2.1868114893609865e-07,0.0003845643669236406,0.0001136439192605356
mimic3_mort_icu,RC-Logit,8,0.8543463065789216,0.052437046268606256,0.1717992859120363,0.0,1.2078525480157007e-07,0.0011928373394744555,0.00015056492628873528
mimic3_mort_icu,RF-NoCal,8,0.8595497434240164,0.05187260669915246,0.18071415217064568,1.199040866595169e-14,0.6620475699131381,0.0013685392346069265,5.896239276434691e-05
mimic3_mort_icu,CF-Iso,9,0.8571957567032924,0.050646134275940634,0.20008529164158428,3.701209894124702e-09,3.444513764695801e-05,0.00042391134255469665,0.00011282951015015828
mimic3_mort_icu,CF-Logit,9,0.8569313463384061,0.05213606647037702,0.17655301827412673,0.0,2.0330793566218575e-09,0.001349056715686937,0.00019047842732523412
mimic3_mort_icu,RC-Iso,9,0.851982679896978,0.05095691638497315,0.19517673971232374,0.0,3.248842636465142e-08,0.0004388563037588659,0.00014790049973682084
mimic3_mort_icu,RC-Logit,9,0.8591170162759271,0.05242294238895494,0.17202204527835907,0.0,2.8393664922386455e-06,0.001505994279420518,0.00014509567880559838
mimic3_mort_icu,RF-NoCal,9,0.8567535426092407,0.05198205186318937,0.17898555436701413,3.752553823233029e-14,0.5612002162232772,0.001273378478424386,6.439011809699324e-05
